TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010101,-17.065,0.0,152.336,97.902,0.0,196.926,0.0,0.117,0.0,98.967,0.0,0.0,0.0,2.203,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,130.205,0.0,131.502,-9999,-9999,-9999,18.3874,0.0,18.5706,-9999,-9999,-9999,-0.255461,0.0,-9999,-0.659276,-0.296958,-0.28911,0.0,0.0,0.0,0.0881898,0.0617365,0.0835977,0.0881898,0.377299,0.376486,0.380555,0.70234,0.0432987,0.0405564,0.0432987,0.0977514,1.71994,1.67109,1.71994,1.80061,-9999,-9999
20010102,-12.483,0.0,152.962,103.425,0.0,212.659,0.0,0.231,0.0,98.976,0.0,0.0,0.0,3.758,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,106.725,0.0,109.572,-9999,-9999,-9999,29.1632,0.0,29.9412,-9999,-9999,-9999,-0.379729,0.0,-9999,-0.554848,-0.524922,-0.482097,0.0,0.0,0.0,0.218966,0.167733,0.209623,0.218966,0.743888,0.69002,0.74242,0.825327,0.114788,0.10963,0.114788,0.220896,1.76307,1.71547,1.76307,1.84643,-9999,-9999
20010103,-4.88,0.0,153.648,99.936,0.0,234.39,0.0,0.654,0.0,98.026,0.0,0.0,0.0,4.313,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,103.246,0.0,106.643,-9999,-9999,-9999,10.8294,0.0,11.1858,-9999,-9999,-9999,-0.462021,0.0,-9999,-0.628126,-0.495218,-0.460194,0.0,0.0,0.0,0.567023,0.469668,0.552501,0.567023,1.02722,1.02467,1.04551,1.25802,0.314711,0.305642,0.314711,0.525923,1.7325,1.68438,1.7325,1.81667,-9999,-9999
20010104,-0.869,0.0,154.392,92.001,0.0,255.951,0.0,1.319,0.0,97.402,0.0,0.0,0.0,5.312,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,130.205,0.0,135.3,-9999,-9999,-9999,18.3874,0.0,19.107,-9999,-9999,-9999,-0.255461,0.0,-9999,-0.659276,-0.296958,-0.28911,0.0,0.0,0.0,0.87774,0.761493,0.861714,0.87774,1.16685,1.15671,1.16685,1.58654,0.503845,0.494255,0.503845,0.789035,1.66479,1.61502,1.66479,1.73478,-9999,-9999
20010105,-0.503,0.0,155.194,101.832,0.0,243.072,0.0,1.341,0.0,97.473,0.0,0.0,0.0,4.754,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,106.725,0.0,111.566,-9999,-9999,-9999,29.1632,0.0,30.486,-9999,-9999,-9999,-0.379729,0.0,-9999,-0.554848,-0.524922,-0.482097,0.0,0.0,0.0,0.864577,0.742527,0.847465,0.864577,1.3895,1.29815,1.38651,1.45515,0.492709,0.482235,0.49312,0.779568,1.7566,1.7083,1.7566,1.84105,-9999,-9999
20010106,0.98,0.0,156.055,102.016,0.0,254.5,0.0,1.499,0.0,96.819,0.0,0.0,0.0,4.874,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,103.246,0.0,108.201,-9999,-9999,-9999,10.8294,0.0,11.3492,-9999,-9999,-9999,-0.462021,0.0,-9999,-0.628126,-0.495218,-0.460194,0.0,0.0,0.0,0.984644,0.855941,0.967066,0.984644,1.44484,1.43089,1.46013,1.69807,0.566103,0.555514,0.566103,0.884305,1.76081,1.71241,1.76081,1.8454,-9999,-9999
20010107,-0.147,0.0,156.973,76.286,0.0,279.167,0.0,0.792,0.0,97.611,0.0,0.071,0.0,4.999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,130.205,0.0,136.797,-9999,-9999,-9999,18.3874,0.0,19.3184,-9999,-9999,-9999,-0.255461,0.0,-9999,-0.659276,-0.296958,-0.28911,0.0,0.0,0.0,0.888773,0.7646,0.871432,0.888773,1.17788,1.16627,1.17788,1.60477,0.50713,0.496525,0.507437,0.800913,1.56216,1.50649,1.56216,1.60369,-9999,-9999
20010108,-3.567,0.0,157.95,97.955,0.0,251.231,0.0,0.757,0.0,97.936,0.0,0.064,0.0,2.647,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,106.725,0.0,112.129,-9999,-9999,-9999,29.1632,0.0,30.6398,-9999,-9999,-9999,-0.379729,0.0,-9999,-0.554848,-0.524922,-0.482097,0.0,0.0,0.0,0.646497,0.540953,0.631003,0.646497,1.17142,1.09314,1.16871,1.2194,0.361496,0.351835,0.361496,0.592986,1.72227,1.67356,1.72227,1.80358,-9999,-9999
20010109,-4.947,0.0,158.983,105.236,0.0,235.955,0.0,0.63,0.0,98.047,0.0,0.0,0.0,4.047,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,103.246,0.0,108.474,-9999,-9999,-9999,10.8294,0.0,11.3778,-9999,-9999,-9999,-0.462021,0.0,-9999,-0.628126,-0.495218,-0.460194,0.0,0.0,0.0,0.584178,0.488075,0.569991,0.584178,1.04437,1.04189,1.06269,1.2733,0.326255,0.317461,0.326255,0.537387,1.78854,1.74074,1.78854,1.87214,-9999,-9999
20010110,2.134,0.0,160.072,102.597,0.0,260.374,0.0,1.483,0.0,97.229,0.0,0.0,0.0,6.871,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,130.205,0.0,136.787,-9999,-9999,-9999,18.3874,0.0,19.317,-9999,-9999,-9999,-0.255461,0.0,-9999,-0.659276,-0.296958,-0.28911,0.0,0.0,0.0,1.09048,0.957864,1.07289,1.09048,1.37959,1.36769,1.37653,1.81649,0.63189,0.621524,0.63189,0.975939,1.76554,1.71722,1.76554,1.85002,-9999,-9999
