coluna,nan_antes,nan_depois,novos_nan
Temp. Ins. (C),283,283,0
Temp. Max. (C),294,294,0
Temp. Min. (C),294,294,0
Umi. Ins. (%),283,283,0
Umi. Max. (%),294,294,0
Umi. Min. (%),294,294,0
Pto Orvalho Ins. (C),283,283,0
Pto Orvalho Max. (C),294,294,0
Pto Orvalho Min. (C),294,294,0
Pressao Ins. (hPa),283,283,0
Pressao Max. (hPa),294,294,0
Pressao Min. (hPa),294,294,0
Vel. Vento (m/s),284,284,0
Raj. Vento (m/s),295,295,0
Radiacao (KJ/m²),395,395,0
Chuva (mm),283,283,0
