system:index,CO2Flux,NDVI,NIR,PRI,R531,R570,RED,data_imagem,estacao_meteorologica,lat,lon,sPRI,scene_id,sensor,.geo,NDVI_py,PRI_py,sPRI_py,CO2Flux_py
16,-10.963709,0.72042066,98.15,0.03125,33.825,31.775,15.95,2012-07-09,INMET Rio Branco A104,-9.922954354341837,-68.29237960759892,0.515625,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29237960759892,-9.922954354341835]}",0.7204206836108676,0.03125000000000007,0.515625,-10.963710040534616
17,-12.45002,0.75956964,106.3,0.037209302,33.45,31.05,14.525,2012-07-09,INMET Rio Branco A104,-9.922953776967038,-68.29210605317218,0.51860464,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29210605317218,-9.922953776967038]}",0.7595696254914132,0.03720930232558143,0.5186046511627908,-12.450019166197508
18,-12.730299,0.772187,111.825,0.0312262,33.85,31.8,14.375,2012-07-09,INMET Rio Branco A104,-9.922953199369127,-68.29183249876216,0.5156131,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29183249876216,-9.922953199369127]}",0.7721870047543582,0.031226199543031234,0.5156130997715156,-12.730299513399464
19,-12.570322,0.7693523,112.0,0.028744327,34.0,32.1,14.6,2012-07-09,INMET Rio Branco A104,-9.9229526215481,-68.29155894436887,0.51437217,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29155894436887,-9.922952621548099]}",0.769352290679305,0.028744326777609665,0.5143721633888049,-12.570321357128007
20,-12.384841,0.75337017,99.175,0.04313099,32.65,29.95,13.95,2012-07-09,INMET Rio Branco A104,-9.922952043503956,-68.29128538999232,0.5215655,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29128538999232,-9.922952043503955]}",0.7533701657458564,0.043130990415335455,0.5215654952076677,-12.384841215646121
21,-12.297508,0.765625,110.175,0.022988506,33.375,31.875,14.625,2012-07-09,INMET Rio Branco A104,-9.923230951888682,-68.29484101758553,0.5114943,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29484101758553,-9.923230951888682]}",0.765625,0.022988505747126436,0.5114942528735632,-12.297507812499996
22,-12.735112,0.7743711,112.85,0.028505392,33.375,31.525,14.35,2012-07-09,INMET Rio Branco A104,-9.92323037650589,-68.2945674627834,0.5142527,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.2945674627834,-9.92323037650589]}",0.77437106918239,0.028505392912172592,0.5142526964560863,-12.735111124334969
23,-13.173654,0.7829573,119.525,0.034146342,34.45,32.175,14.55,2012-07-09,INMET Rio Branco A104,-9.923229800899971,-68.29429390799797,0.51707315,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29429390799797,-9.923229800899973]}",0.7829573000186463,0.03414634146341472,0.5170731707317073,-13.173653268329064
24,-13.258663,0.7813144,118.925,0.039607696,34.45,31.825,14.6,2012-07-09,INMET Rio Branco A104,-9.923229225070935,-68.29402035322919,0.5198038,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29402035322919,-9.923229225070935]}",0.781314360606628,0.03960769520935501,0.5198038476046775,-13.258662868561744
25,-13.065368,0.7770542,115.975,0.037792895,34.325,31.825,14.55,2012-07-09,INMET Rio Branco A104,-9.923228649018773,-68.29374679847709,0.51889646,EO1H0020662012191110KF_SGS_01,EO-1 Hyperion,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-68.29374679847709,-9.923228649018773]}",0.7770542041754452,0.03779289493575213,0.5188964474678761,-13.065368566286244
