TIMESTAMP,TA_F,TA_F_QC,SW_IN_POT,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,USTAR,USTAR_QC,NETRAD,NETRAD_QC,PPFD_IN,PPFD_IN_QC,PPFD_DIF,PPFD_DIF_QC,PPFD_OUT,PPFD_OUT_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,TS_F_MDS_1,TS_F_MDS_1_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_F_MDS,LE_F_MDS_QC,LE_CORR,LE_CORR_25,LE_CORR_75,LE_RANDUNC,H_F_MDS,H_F_MDS_QC,H_CORR,H_CORR_25,H_CORR_75,H_RANDUNC,NEE_VUT_REF,NEE_VUT_REF_QC,NEE_VUT_REF_RANDUNC,NEE_VUT_25,NEE_VUT_50,NEE_VUT_75,NEE_VUT_25_QC,NEE_VUT_50_QC,NEE_VUT_75_QC,RECO_NT_VUT_REF,RECO_NT_VUT_25,RECO_NT_VUT_50,RECO_NT_VUT_75,GPP_NT_VUT_REF,GPP_NT_VUT_25,GPP_NT_VUT_50,GPP_NT_VUT_75,RECO_DT_VUT_REF,RECO_DT_VUT_25,RECO_DT_VUT_50,RECO_DT_VUT_75,GPP_DT_VUT_REF,GPP_DT_VUT_25,GPP_DT_VUT_50,GPP_DT_VUT_75,RECO_SR,RECO_SR_N
20010111,0.803,0.0,161.326,96.022,0.0,278.132,0.0,0.288,0.0,97.395,0.0,1.167,0.0,3.57,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,81.0877,-9999,-9999,-9999,53.264,0.0,55.4913,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.719158,0.680819,0.686583,0.760401,-0.86936,-0.90394,-0.86046,-0.858344,1.50245,1.43122,1.46321,1.50245,1.82308,1.78412,1.82308,2.04553,-9999,-9999
20010112,-3.228,0.0,162.528,102.333,0.0,255.554,0.0,0.176,0.0,97.812,0.0,0.0,0.0,2.331,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,75.4297,-9999,-9999,-9999,54.0872,0.0,56.8783,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.446061,0.416509,0.420923,0.47833,-1.61531,-1.64577,-1.61531,-1.57299,1.05188,1.01341,1.04407,1.06683,1.87158,1.83159,1.87158,2.11606,-9999,-9999
20010113,0.08,0.0,163.786,44.221,0.0,291.883,0.0,0.069,0.0,96.92,0.0,17.043,0.0,4.946,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,72.9853,-9999,-9999,-9999,66.4231,0.0,70.4413,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.649225,0.612113,0.617683,0.68928,-0.802546,-0.821743,-0.757696,-0.755929,1.4019,1.34895,1.36301,1.4019,1.17732,1.15222,1.16887,1.20612,-9999,-9999
20010114,-1.707,0.0,165.1,51.153,0.0,301.993,0.0,0.051,0.0,97.073,0.0,0.918,0.0,5.344,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,83.2846,-9999,-9999,-9999,53.264,0.0,57.0076,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.52512,0.491969,0.496931,0.561139,-1.0634,-1.09749,-1.05954,-1.048,1.19822,1.15694,1.17447,1.20158,1.36336,1.33428,1.36336,1.40926,-9999,-9999
20010115,-5.893,0.0,166.468,108.07,0.0,248.654,0.0,0.052,0.0,98.084,0.0,0.0,0.0,4.933,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,77.4545,-9999,-9999,-9999,54.0872,0.0,58.418,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.291673,0.268277,0.271751,0.317573,-1.76969,-1.80653,-1.76969,-1.73712,0.779461,0.745502,0.779461,0.819337,1.90019,1.85957,1.90019,2.16548,-9999,-9999
20010116,-7.064,0.0,167.89,87.64,0.0,261.186,0.0,0.027,0.0,98.619,0.0,0.182,0.0,3.334,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,75.6159,-9999,-9999,-9999,66.4231,0.0,73.0014,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.241174,0.220481,0.223546,0.264221,-1.2106,-1.21338,-1.18275,-1.15668,0.678885,0.647297,0.678885,0.724666,1.7441,1.70685,1.7441,1.93494,-9999,-9999
20010117,-6.677,0.0,169.365,104.925,0.0,246.135,0.0,0.142,0.0,98.449,0.0,0.118,0.0,2.85,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,87.3511,-9999,-9999,-9999,53.264,0.0,59.8142,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.258702,0.237108,0.24031,0.282697,-1.32982,-1.34201,-1.32982,-1.30462,0.71312,0.680765,0.71312,0.756702,1.88781,1.84746,1.88781,2.14387,-9999,-9999
20010118,-4.195,0.0,170.894,98.617,0.0,252.771,0.0,0.281,0.0,97.748,0.0,0.126,0.0,5.064,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,82.1051,-9999,-9999,-9999,54.0872,0.0,61.9545,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.383647,0.356286,0.360364,0.413668,-1.67772,-1.71043,-1.67772,-1.63883,0.946409,0.909414,0.946409,0.972269,1.84061,1.80128,1.84061,2.07001,-9999,-9999
20010119,-15.826,0.0,172.475,123.634,0.0,190.033,0.0,0.001,0.0,98.691,0.0,0.0,0.0,4.849,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,80.3181,-9999,-9999,-9999,66.4231,0.0,77.5778,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.0445733,0.0389657,0.039779,0.0511359,-1.4072,-1.4068,-1.37889,-1.34098,0.188255,0.174989,0.188255,0.208295,2.00717,1.96425,2.00717,2.32465,-9999,-9999
20010120,-11.394,0.0,174.108,117.153,0.0,213.116,0.0,0.262,0.0,98.185,0.0,0.0,0.0,3.944,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,77.1744,0.0,91.8695,-9999,-9999,-9999,53.264,0.0,62.9327,-9999,-9999,-9999,1.56915,0.0,-9999,1.54493,1.56915,1.58852,0.0,0.0,0.0,0.171751,0.157461,0.159576,0.187695,-1.41677,-1.43169,-1.41169,-1.38535,0.480896,0.45813,0.480896,0.516941,1.97342,1.93123,1.97342,2.26866,-9999,-9999
20010121,-8.191,0.0,175.792,123.073,0.0,224.339,0.0,0.012,0.0,98.68,0.0,0.0,0.0,3.446,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,71.1269,0.0,86.2694,-9999,-9999,-9999,54.0872,0.0,65.1211,-9999,-9999,-9999,2.06919,0.0,-9999,2.01222,2.06137,2.06919,0.0,0.0,0.0,0.203403,0.185145,0.187844,0.223841,-1.85796,-1.8959,-1.85796,-1.82438,0.595796,0.566647,0.595796,0.644117,2.01224,1.96921,2.01224,2.32899,-9999,-9999
20010122,-4.648,0.0,177.527,121.845,0.0,239.759,0.0,0.39,0.0,98.43,0.0,0.0,0.0,3.614,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,0.0,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1.0,68.2498,0.0,83.4062,-9999,-9999,-9999,66.4231,0.0,81.1738,-9999,-9999,-9999,1.43386,0.0,-9999,1.37361,1.43386,1.44698,0.0,0.0,0.0,0.396402,0.36997,0.373914,0.425338,-1.05537,-1.06389,-1.02164,-0.999698,0.944408,0.90899,0.943258,0.963181,2.00449,1.96163,2.00449,2.31589,-9999,-9999
