"Arquivo","TamanhoBytes","SHA256","ModificadoEm"
"00_DOCUMENTACAO_INSTITUCIONAL\PGDRA_UNIR_Instrucao_Elaboracao_Tese_Dissertacao.pdf","246595","99490D6DCD54A695F644068B8F509199A980F0DAAA0F78BB4F7AFE8FC92D00C9","28/04/2026 22:06:25"
"00_DOCUMENTACAO_INSTITUCIONAL\README_DOCUMENTACAO_INSTITUCIONAL.md","413","F7D904C3C308DF11576AA461787CC3666A0A76DDD0BF4ADC5B58D9662B9E9EA0","29/04/2026 01:06:16"
"01_VERSAO_QUALIFICACAO\README_VERSAO_QUALIFICACAO.md","336","20EA4F2A17453F40F2BB700C8A24EFA3E96461E8536961F706BCFEB22017CF0D","29/04/2026 01:06:16"
"01_VERSAO_QUALIFICACAO\V48_Tese_Doutorado_David_Lopes_Maciel_20260428.pdf","1349308","287F7D1AD5EC655FF3E62F783F0EC2F8DD58DD0779800F9CF21088F51A06A409","29/04/2026 00:21:32"
